Ano;Campeao;Vice;Final
2021;Atlético Mineiro;Flamengo;pontos corridos
2020;Flamengo;Internacional;pontos corridos
2019;Flamengo;Santos;pontos corridos
2018;Palmeiras;Flamengo;pontos corridos
2017;Corinthians;Palmeiras;pontos corridos
2016;Palmeiras;Santos;pontos corridos
2015;Corinthians;Atlético Mineiro;pontos corridos
2014;Cruzeiro;São Paulo;pontos corridos
2013;Cruzeiro;Grêmio;pontos corridos
2012;Fluminense;Atlético-MG;pontos corridos
2011;Corinthians;Vasco da Gama;pontos corridos
2010;Fluminense;Cruzeiro;pontos corridos
2009;Flamengo;Internacional;pontos corridos
2008;São Paulo;Grêmio;pontos corridos
2007;São Paulo;Santos;pontos corridos
2006;São Paulo;Internacional;pontos corridos
2005;Corinthians;Internacional;pontos corridos
2004;Santos;Atletico Paranaense;pontos corridos
2003;Cruzeiro;Santos;pontos corridos
2002;Santos;Corinthians;2 x 0 e 3 x 2
