Ano;Campeao;Vice
2020;Palmeiras;Grêmio
2019;Athletico-PR;Internacional
2018;Cruzeiro;Corinthians
2017;Cruzeiro;Flamengo
2016;Grêmio;Atlético-MG
2015;Palmeiras;Santos
2014;Atlético-MG;Cruzeiro
2013;Flamengo;Atlético-PR
2012;Palmeiras;Coritiba
2011;Vasco da Gama;Coritiba
2010;Santos;Vitória
2009;Corinthians;Internacional
2008;Sport;Corinthians
2007;Fluminense;Figueirense (SC)
2006;Flamengo;Vasco da Gama
2005;Paulista;Fluminense
2004;Santo André;Flamengo
2003;Cruzeiro;Flamengo
2002;Corinthians;Brasiliense
2001;Grêmio;Corinthians
2000;Cruzeiro;São Paulo
1999;Juventude;Botafogo
1998;Palmeiras;Cruzeiro
1997;Grêmio;Flamengo
1996;Cruzeiro;Palmeiras
1995;Corinthians;Grêmio
1994;Grêmio;Ceará (CE)
1993;Cruzeiro;Grêmio
1992;Internacional;Fluminense
1991;Criciúma;Grêmio
1990;Flamengo;Goiás
1989;Grêmio;Sport
